# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
      31     -0.42597926E-06     -0.43089425E-06     -0.19922783E-02     -0.57978866E-02
      32     -0.42623416E-06     -0.43089425E-06     -0.20163297E-02     -0.57978866E-02
      33     -0.42648920E-06     -0.43089425E-06     -0.20415121E-02     -0.57978866E-02
      34     -0.42670272E-06     -0.43089425E-06     -0.20623946E-02     -0.57978866E-02
      35     -0.42692536E-06     -0.43089425E-06     -0.20850158E-02     -0.57978866E-02
      36     -0.42712962E-06     -0.43089425E-06     -0.21077412E-02     -0.57978866E-02
      37     -0.42727669E-06     -0.43089425E-06     -0.21274400E-02     -0.57978866E-02
      38     -0.42739454E-06     -0.43089425E-06     -0.21456004E-02     -0.57978866E-02
      39     -0.42751305E-06     -0.43089425E-06     -0.21627522E-02     -0.57978866E-02
      40     -0.42763313E-06     -0.43089425E-06     -0.21810764E-02     -0.57978866E-02
      41     -0.42773693E-06     -0.43089425E-06     -0.21988694E-02     -0.57978866E-02
      42     -0.42783403E-06     -0.43089425E-06     -0.22148598E-02     -0.57978866E-02
      43     -0.42793084E-06     -0.43089425E-06     -0.22321170E-02     -0.57978866E-02
      44     -0.42801715E-06     -0.43089425E-06     -0.22482708E-02     -0.57978866E-02
      45     -0.42809044E-06     -0.43089425E-06     -0.22648214E-02     -0.57978866E-02
      46     -0.42814682E-06     -0.43089425E-06     -0.22799363E-02     -0.57978866E-02
      47     -0.42820393E-06     -0.43089425E-06     -0.22971551E-02     -0.57978866E-02
      48     -0.42827250E-06     -0.43089425E-06     -0.23130556E-02     -0.57978866E-02
      49     -0.42832822E-06     -0.43089425E-06     -0.23289088E-02     -0.57978866E-02
      50     -0.42837953E-06     -0.43089425E-06     -0.23470135E-02     -0.57978866E-02
      51     -0.42842125E-06     -0.43089425E-06     -0.23633674E-02     -0.57978866E-02
      52     -0.42846150E-06     -0.43089425E-06     -0.23799563E-02     -0.57978866E-02
      53     -0.42849738E-06     -0.43089425E-06     -0.23968281E-02     -0.57978866E-02
      54     -0.42853878E-06     -0.43089425E-06     -0.24130693E-02     -0.57978866E-02
      55     -0.42857626E-06     -0.43089425E-06     -0.24296104E-02     -0.57978866E-02
      56     -0.42861534E-06     -0.43089425E-06     -0.24468575E-02     -0.57978866E-02
      57     -0.42864958E-06     -0.43089425E-06     -0.24635425E-02     -0.57978866E-02
      58     -0.42868364E-06     -0.43089425E-06     -0.24788077E-02     -0.57978866E-02
      59     -0.42871362E-06     -0.43089425E-06     -0.24948654E-02     -0.57978866E-02
      60     -0.42874630E-06     -0.43089425E-06     -0.25114049E-02     -0.57978866E-02
      61     -0.42877968E-06     -0.43089425E-06     -0.25270529E-02     -0.57978866E-02
      62     -0.42880980E-06     -0.43089425E-06     -0.25423674E-02     -0.57978866E-02
      63     -0.42883724E-06     -0.43089425E-06     -0.25580451E-02     -0.57978866E-02
      64     -0.42886624E-06     -0.43089425E-06     -0.25740832E-02     -0.57978866E-02
      65     -0.42889102E-06     -0.43089425E-06     -0.25898553E-02     -0.57978866E-02
      66     -0.42891544E-06     -0.43089425E-06     -0.26055536E-02     -0.57978866E-02
      67     -0.42894254E-06     -0.43089425E-06     -0.26204309E-02     -0.57978866E-02
      68     -0.42896848E-06     -0.43089425E-06     -0.26369199E-02     -0.57978866E-02
      69     -0.42899106E-06     -0.43089425E-06     -0.26516248E-02     -0.57978866E-02
      70     -0.42901422E-06     -0.43089425E-06     -0.26663355E-02     -0.57978866E-02
      71     -0.42903786E-06     -0.43089425E-06     -0.26804162E-02     -0.57978866E-02
      72     -0.42905899E-06     -0.43089425E-06     -0.26944477E-02     -0.57978866E-02
      73     -0.42908546E-06     -0.43089425E-06     -0.27099715E-02     -0.57978866E-02
      74     -0.42910668E-06     -0.43089425E-06     -0.27242524E-02     -0.57978866E-02
      75     -0.42912847E-06     -0.43089425E-06     -0.27389982E-02     -0.57978866E-02
      76     -0.42914854E-06     -0.43089425E-06     -0.27526119E-02     -0.57978866E-02
      77     -0.42916549E-06     -0.43089425E-06     -0.27665017E-02     -0.57978866E-02
      78     -0.42918369E-06     -0.43089425E-06     -0.27802639E-02     -0.57978866E-02
      79     -0.42920109E-06     -0.43089425E-06     -0.27936278E-02     -0.57978866E-02
      80     -0.42921942E-06     -0.43089425E-06     -0.28072446E-02     -0.57978866E-02
      81     -0.42923562E-06     -0.43089425E-06     -0.28208492E-02     -0.57978866E-02
      82     -0.42925202E-06     -0.43089425E-06     -0.28345282E-02     -0.57978866E-02
      83     -0.42926834E-06     -0.43089425E-06     -0.28484853E-02     -0.57978866E-02
      84     -0.42928556E-06     -0.43089425E-06     -0.28630873E-02     -0.57978866E-02
      85     -0.42930359E-06     -0.43089425E-06     -0.28779019E-02     -0.57978866E-02
      86     -0.42932114E-06     -0.43089425E-06     -0.28931608E-02     -0.57978866E-02
      87     -0.42933612E-06     -0.43089425E-06     -0.29074030E-02     -0.57978866E-02
      88     -0.42935107E-06     -0.43089425E-06     -0.29215875E-02     -0.57978866E-02
      89     -0.42936567E-06     -0.43089425E-06     -0.29356966E-02     -0.57978866E-02
      90     -0.42938064E-06     -0.43089425E-06     -0.29504929E-02     -0.57978866E-02
      91     -0.42939918E-06     -0.43089425E-06     -0.29653799E-02     -0.57978866E-02
      92     -0.42941503E-06     -0.43089425E-06     -0.29794466E-02     -0.57978866E-02
      93     -0.42942992E-06     -0.43089425E-06     -0.29938379E-02     -0.57978866E-02
      94     -0.42944520E-06     -0.43089425E-06     -0.30077254E-02     -0.57978866E-02
      95     -0.42946011E-06     -0.43089425E-06     -0.30219529E-02     -0.57978866E-02
      96     -0.42947629E-06     -0.43089425E-06     -0.30360210E-02     -0.57978866E-02
      97     -0.42949009E-06     -0.43089425E-06     -0.30500156E-02     -0.57978866E-02
      98     -0.42950540E-06     -0.43089425E-06     -0.30644042E-02     -0.57978866E-02
      99     -0.42951772E-06     -0.43089425E-06     -0.30785879E-02     -0.57978866E-02
     100     -0.42953078E-06     -0.43089425E-06     -0.30919127E-02     -0.57978866E-02
     101     -0.42954320E-06     -0.43089425E-06     -0.31054493E-02     -0.57978866E-02
     102     -0.42955721E-06     -0.43089425E-06     -0.31200598E-02     -0.57978866E-02
     103     -0.42957121E-06     -0.43089425E-06     -0.31344446E-02     -0.57978866E-02
     104     -0.42958338E-06     -0.43089425E-06     -0.31472143E-02     -0.57978866E-02
     105     -0.42959672E-06     -0.43089425E-06     -0.31613475E-02     -0.57978866E-02
     106     -0.42960908E-06     -0.43089425E-06     -0.31744913E-02     -0.57978866E-02
     107     -0.42962129E-06     -0.43089425E-06     -0.31881067E-02     -0.57978866E-02
     108     -0.42963204E-06     -0.43089425E-06     -0.32016370E-02     -0.57978866E-02
     109     -0.42964577E-06     -0.43089425E-06     -0.32152559E-02     -0.57978866E-02
     110     -0.42965610E-06     -0.43089425E-06     -0.32275191E-02     -0.57978866E-02
     111     -0.42966695E-06     -0.43089425E-06     -0.32413404E-02     -0.57978866E-02
     112     -0.42967757E-06     -0.43089425E-06     -0.32548494E-02     -0.57978866E-02
     113     -0.42968991E-06     -0.43089425E-06     -0.32690580E-02     -0.57978866E-02
     114     -0.42969891E-06     -0.43089425E-06     -0.32823925E-02     -0.57978866E-02
     115     -0.42971000E-06     -0.43089425E-06     -0.32965906E-02     -0.57978866E-02
     116     -0.42972252E-06     -0.43089425E-06     -0.33105006E-02     -0.57978866E-02
     117     -0.42973264E-06     -0.43089425E-06     -0.33234688E-02     -0.57978866E-02
     118     -0.42974217E-06     -0.43089425E-06     -0.33368291E-02     -0.57978866E-02
     119     -0.42975176E-06     -0.43089425E-06     -0.33493580E-02     -0.57978866E-02
     120     -0.42976235E-06     -0.43089425E-06     -0.33640489E-02     -0.57978866E-02
     121     -0.42977236E-06     -0.43089425E-06     -0.33769439E-02     -0.57978866E-02
     122     -0.42978119E-06     -0.43089425E-06     -0.33899282E-02     -0.57978866E-02
     123     -0.42979108E-06     -0.43089425E-06     -0.34034526E-02     -0.57978866E-02
     124     -0.42980012E-06     -0.43089425E-06     -0.34164482E-02     -0.57978866E-02
     125     -0.42980958E-06     -0.43089425E-06     -0.34290132E-02     -0.57978866E-02
     126     -0.42981976E-06     -0.43089425E-06     -0.34425146E-02     -0.57978866E-02
     127     -0.42982808E-06     -0.43089425E-06     -0.34568308E-02     -0.57978866E-02
     128     -0.42983573E-06     -0.43089425E-06     -0.34704101E-02     -0.57978866E-02
     129     -0.42984414E-06     -0.43089425E-06     -0.34835824E-02     -0.57978866E-02
     130     -0.42985761E-06     -0.43089425E-06     -0.34973481E-02     -0.57978866E-02
     131     -0.42986681E-06     -0.43089425E-06     -0.35098042E-02     -0.57978866E-02
     132     -0.42987358E-06     -0.43089425E-06     -0.35226448E-02     -0.57978866E-02
     133     -0.42988280E-06     -0.43089425E-06     -0.35360774E-02     -0.57978866E-02
     134     -0.42989045E-06     -0.43089425E-06     -0.35487362E-02     -0.57978866E-02
     135     -0.42989799E-06     -0.43089425E-06     -0.35613135E-02     -0.57978866E-02
     136     -0.42990537E-06     -0.43089425E-06     -0.35734141E-02     -0.57978866E-02
     137     -0.42991444E-06     -0.43089425E-06     -0.35863626E-02     -0.57978866E-02
     138     -0.42992165E-06     -0.43089425E-06     -0.35992880E-02     -0.57978866E-02
     139     -0.42992865E-06     -0.43089425E-06     -0.36115179E-02     -0.57978866E-02
     140     -0.42993805E-06     -0.43089425E-06     -0.36245759E-02     -0.57978866E-02
     141     -0.42994447E-06     -0.43089425E-06     -0.36369118E-02     -0.57978866E-02
     142     -0.42995260E-06     -0.43089425E-06     -0.36495863E-02     -0.57978866E-02
     143     -0.42995970E-06     -0.43089425E-06     -0.36624274E-02     -0.57978866E-02
     144     -0.42996669E-06     -0.43089425E-06     -0.36753064E-02     -0.57978866E-02
     145     -0.42997359E-06     -0.43089425E-06     -0.36882031E-02     -0.57978866E-02
     146     -0.42998012E-06     -0.43089425E-06     -0.37020920E-02     -0.57978866E-02
     147     -0.42998701E-06     -0.43089425E-06     -0.37152096E-02     -0.57978866E-02
     148     -0.42999393E-06     -0.43089425E-06     -0.37278643E-02     -0.57978866E-02
     149     -0.42999996E-06     -0.43089425E-06     -0.37408247E-02     -0.57978866E-02
     150     -0.43000597E-06     -0.43089425E-06     -0.37535154E-02     -0.57978866E-02
     151     -0.43001263E-06     -0.43089425E-06     -0.37661851E-02     -0.57978866E-02
     152     -0.43001794E-06     -0.43089425E-06     -0.37784422E-02     -0.57978866E-02
     153     -0.43002398E-06     -0.43089425E-06     -0.37916069E-02     -0.57978866E-02
     154     -0.43002978E-06     -0.43089425E-06     -0.38047843E-02     -0.57978866E-02
     155     -0.43003530E-06     -0.43089425E-06     -0.38173840E-02     -0.57978866E-02
     156     -0.43004081E-06     -0.43089425E-06     -0.38309690E-02     -0.57978866E-02
     157     -0.43004580E-06     -0.43089425E-06     -0.38429685E-02     -0.57978866E-02
     158     -0.43005143E-06     -0.43089425E-06     -0.38556473E-02     -0.57978866E-02
     159     -0.43005729E-06     -0.43089425E-06     -0.38683730E-02     -0.57978866E-02
     160     -0.43006217E-06     -0.43089425E-06     -0.38812875E-02     -0.57978866E-02
     161     -0.43006700E-06     -0.43089425E-06     -0.38941139E-02     -0.57978866E-02
     162     -0.43007157E-06     -0.43089425E-06     -0.39069712E-02     -0.57978866E-02
     163     -0.43007606E-06     -0.43089425E-06     -0.39196442E-02     -0.57978866E-02

# q=  0.00000000E+00  0.83333333E-01  0.00000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.67312998E-03     -0.27739475E-02     -0.23073401E-03     -0.55110553E-02
       2     -0.12597945E-02     -0.27739475E-02     -0.44567418E-03     -0.55110553E-02
       3     -0.15376190E-02     -0.27739475E-02     -0.63017095E-03     -0.55110553E-02
       4     -0.17883875E-02     -0.27739475E-02     -0.80869128E-03     -0.55110553E-02
       5     -0.20562815E-02     -0.27739475E-02     -0.94787896E-03     -0.55110553E-02
       6     -0.22555899E-02     -0.27739475E-02     -0.10835268E-02     -0.55110553E-02
       7     -0.23413434E-02     -0.27739475E-02     -0.12093950E-02     -0.55110553E-02
       8     -0.24202510E-02     -0.27739475E-02     -0.13281940E-02     -0.55110553E-02
       9     -0.24632521E-02     -0.27739475E-02     -0.13653554E-02     -0.55110553E-02
      10     -0.24947266E-02     -0.27739475E-02     -0.13958005E-02     -0.55110553E-02
      11     -0.25209193E-02     -0.27739475E-02     -0.14255757E-02     -0.55110553E-02
      12     -0.25422766E-02     -0.27739475E-02     -0.14535632E-02     -0.55110553E-02
      13     -0.25729058E-02     -0.27739475E-02     -0.14846554E-02     -0.55110553E-02
      14     -0.25927266E-02     -0.27739475E-02     -0.15113202E-02     -0.55110553E-02
      15     -0.26116885E-02     -0.27739475E-02     -0.15348909E-02     -0.55110553E-02
      16     -0.26286252E-02     -0.27739475E-02     -0.15595783E-02     -0.55110553E-02
      17     -0.26443589E-02     -0.27739475E-02     -0.15840328E-02     -0.55110553E-02
      18     -0.26562395E-02     -0.27739475E-02     -0.16095368E-02     -0.55110553E-02
      19     -0.26704450E-02     -0.27739475E-02     -0.16400364E-02     -0.55110553E-02
      20     -0.26835292E-02     -0.27739475E-02     -0.16675768E-02     -0.55110553E-02
      21     -0.26915060E-02     -0.27739475E-02     -0.16938385E-02     -0.55110553E-02
      22     -0.26982734E-02     -0.27739475E-02     -0.17212444E-02     -0.55110553E-02
      23     -0.27058652E-02     -0.27739475E-02     -0.17471002E-02     -0.55110553E-02
      24     -0.27121632E-02     -0.27739475E-02     -0.17712705E-02     -0.55110553E-02
      25     -0.27170313E-02     -0.27739475E-02     -0.17954228E-02     -0.55110553E-02
      26     -0.27223325E-02     -0.27739475E-02     -0.18197061E-02     -0.55110553E-02
      27     -0.27259459E-02     -0.27739475E-02     -0.18450388E-02     -0.55110553E-02
      28     -0.27295614E-02     -0.27739475E-02     -0.18674211E-02     -0.55110553E-02
      29     -0.27322682E-02     -0.27739475E-02     -0.18903244E-02     -0.55110553E-02
      30     -0.27357114E-02     -0.27739475E-02     -0.19118183E-02     -0.55110553E-02
      31     -0.27383910E-02     -0.27739475E-02     -0.19350098E-02     -0.55110553E-02
      32     -0.27402415E-02     -0.27739475E-02     -0.19578304E-02     -0.55110553E-02
      33     -0.27420831E-02     -0.27739475E-02     -0.19818669E-02     -0.55110553E-02
      34     -0.27436663E-02     -0.27739475E-02     -0.20019631E-02     -0.55110553E-02
      35     -0.27453235E-02     -0.27739475E-02     -0.20234975E-02     -0.55110553E-02
      36     -0.27468548E-02     -0.27739475E-02     -0.20450473E-02     -0.55110553E-02
      37     -0.27479601E-02     -0.27739475E-02     -0.20638501E-02     -0.55110553E-02
      38     -0.27488499E-02     -0.27739475E-02     -0.20812711E-02     -0.55110553E-02
      39     -0.27497640E-02     -0.27739475E-02     -0.20975550E-02     -0.55110553E-02
      40     -0.27506669E-02     -0.27739475E-02     -0.21150041E-02     -0.55110553E-02
      41     -0.27514356E-02     -0.27739475E-02     -0.21320596E-02     -0.55110553E-02
      42     -0.27521577E-02     -0.27739475E-02     -0.21472888E-02     -0.55110553E-02
      43     -0.27528721E-02     -0.27739475E-02     -0.21637361E-02     -0.55110553E-02
      44     -0.27535102E-02     -0.27739475E-02     -0.21788810E-02     -0.55110553E-02
      45     -0.27540635E-02     -0.27739475E-02     -0.21943224E-02     -0.55110553E-02
      46     -0.27544824E-02     -0.27739475E-02     -0.22085860E-02     -0.55110553E-02
      47     -0.27549173E-02     -0.27739475E-02     -0.22247908E-02     -0.55110553E-02
      48     -0.27554262E-02     -0.27739475E-02     -0.22395665E-02     -0.55110553E-02
      49     -0.27558452E-02     -0.27739475E-02     -0.22543132E-02     -0.55110553E-02
      50     -0.27562271E-02     -0.27739475E-02     -0.22711876E-02     -0.55110553E-02
      51     -0.27565652E-02     -0.27739475E-02     -0.22864305E-02     -0.55110553E-02
      52     -0.27568643E-02     -0.27739475E-02     -0.23019926E-02     -0.55110553E-02
      53     -0.27571325E-02     -0.27739475E-02     -0.23177956E-02     -0.55110553E-02
      54     -0.27574370E-02     -0.27739475E-02     -0.23330660E-02     -0.55110553E-02
      55     -0.27577084E-02     -0.27739475E-02     -0.23486607E-02     -0.55110553E-02
      56     -0.27579898E-02     -0.27739475E-02     -0.23648315E-02     -0.55110553E-02
      57     -0.27582413E-02     -0.27739475E-02     -0.23803924E-02     -0.55110553E-02
      58     -0.27584899E-02     -0.27739475E-02     -0.23948230E-02     -0.55110553E-02
      59     -0.27587017E-02     -0.27739475E-02     -0.24099891E-02     -0.55110553E-02
      60     -0.27589343E-02     -0.27739475E-02     -0.24253623E-02     -0.55110553E-02
      61     -0.27591712E-02     -0.27739475E-02     -0.24399805E-02     -0.55110553E-02
      62     -0.27593860E-02     -0.27739475E-02     -0.24543320E-02     -0.55110553E-02
      63     -0.27595819E-02     -0.27739475E-02     -0.24690738E-02     -0.55110553E-02
      64     -0.27597917E-02     -0.27739475E-02     -0.24839123E-02     -0.55110553E-02
      65     -0.27599745E-02     -0.27739475E-02     -0.24987409E-02     -0.55110553E-02
      66     -0.27601537E-02     -0.27739475E-02     -0.25133992E-02     -0.55110553E-02
      67     -0.27603464E-02     -0.27739475E-02     -0.25273230E-02     -0.55110553E-02
      68     -0.27605358E-02     -0.27739475E-02     -0.25428032E-02     -0.55110553E-02
      69     -0.27606999E-02     -0.27739475E-02     -0.25566828E-02     -0.55110553E-02
      70     -0.27608656E-02     -0.27739475E-02     -0.25705976E-02     -0.55110553E-02
      71     -0.27610316E-02     -0.27739475E-02     -0.25840227E-02     -0.55110553E-02
      72     -0.27611862E-02     -0.27739475E-02     -0.25972629E-02     -0.55110553E-02
      73     -0.27613734E-02     -0.27739475E-02     -0.26117809E-02     -0.55110553E-02
      74     -0.27615270E-02     -0.27739475E-02     -0.26252230E-02     -0.55110553E-02
      75     -0.27616840E-02     -0.27739475E-02     -0.26391093E-02     -0.55110553E-02
      76     -0.27618256E-02     -0.27739475E-02     -0.26518185E-02     -0.55110553E-02
      77     -0.27619482E-02     -0.27739475E-02     -0.26647847E-02     -0.55110553E-02
      78     -0.27620782E-02     -0.27739475E-02     -0.26777233E-02     -0.55110553E-02
      79     -0.27622049E-02     -0.27739475E-02     -0.26904273E-02     -0.55110553E-02
      80     -0.27623363E-02     -0.27739475E-02     -0.27032147E-02     -0.55110553E-02
      81     -0.27624528E-02     -0.27739475E-02     -0.27161055E-02     -0.55110553E-02
      82     -0.27625687E-02     -0.27739475E-02     -0.27290101E-02     -0.55110553E-02
      83     -0.27626857E-02     -0.27739475E-02     -0.27421563E-02     -0.55110553E-02
      84     -0.27628085E-02     -0.27739475E-02     -0.27558164E-02     -0.55110553E-02
      85     -0.27629365E-02     -0.27739475E-02     -0.27698074E-02     -0.55110553E-02
      86     -0.27630616E-02     -0.27739475E-02     -0.27842789E-02     -0.55110553E-02
      87     -0.27631696E-02     -0.27739475E-02     -0.27976763E-02     -0.55110553E-02
      88     -0.27632766E-02     -0.27739475E-02     -0.28109859E-02     -0.55110553E-02
      89     -0.27633815E-02     -0.27739475E-02     -0.28240904E-02     -0.55110553E-02
      90     -0.27634896E-02     -0.27739475E-02     -0.28382013E-02     -0.55110553E-02
      91     -0.27636211E-02     -0.27739475E-02     -0.28522057E-02     -0.55110553E-02
      92     -0.27637323E-02     -0.27739475E-02     -0.28656424E-02     -0.55110553E-02
      93     -0.27638368E-02     -0.27739475E-02     -0.28793509E-02     -0.55110553E-02
      94     -0.27639451E-02     -0.27739475E-02     -0.28924200E-02     -0.55110553E-02
      95     -0.27640500E-02     -0.27739475E-02     -0.29058372E-02     -0.55110553E-02
      96     -0.27641632E-02     -0.27739475E-02     -0.29190830E-02     -0.55110553E-02
      97     -0.27642589E-02     -0.27739475E-02     -0.29323793E-02     -0.55110553E-02
      98     -0.27643666E-02     -0.27739475E-02     -0.29459218E-02     -0.55110553E-02
      99     -0.27644528E-02     -0.27739475E-02     -0.29593919E-02     -0.55110553E-02
     100     -0.27645429E-02     -0.27739475E-02     -0.29720378E-02     -0.55110553E-02
     101     -0.27646295E-02     -0.27739475E-02     -0.29848329E-02     -0.55110553E-02
     102     -0.27647262E-02     -0.27739475E-02     -0.29986316E-02     -0.55110553E-02
     103     -0.27648233E-02     -0.27739475E-02     -0.30120818E-02     -0.55110553E-02
     104     -0.27649058E-02     -0.27739475E-02     -0.30240102E-02     -0.55110553E-02
     105     -0.27649976E-02     -0.27739475E-02     -0.30372686E-02     -0.55110553E-02
     106     -0.27650836E-02     -0.27739475E-02     -0.30496318E-02     -0.55110553E-02
     107     -0.27651683E-02     -0.27739475E-02     -0.30622421E-02     -0.55110553E-02
     108     -0.27652423E-02     -0.27739475E-02     -0.30749487E-02     -0.55110553E-02
     109     -0.27653360E-02     -0.27739475E-02     -0.30876708E-02     -0.55110553E-02
     110     -0.27654074E-02     -0.27739475E-02     -0.30990881E-02     -0.55110553E-02
     111     -0.27654826E-02     -0.27739475E-02     -0.31119343E-02     -0.55110553E-02
     112     -0.27655553E-02     -0.27739475E-02     -0.31245380E-02     -0.55110553E-02
     113     -0.27656400E-02     -0.27739475E-02     -0.31377716E-02     -0.55110553E-02
     114     -0.27657021E-02     -0.27739475E-02     -0.31501762E-02     -0.55110553E-02
     115     -0.27657780E-02     -0.27739475E-02     -0.31635045E-02     -0.55110553E-02
     116     -0.27658629E-02     -0.27739475E-02     -0.31764386E-02     -0.55110553E-02
     117     -0.27659323E-02     -0.27739475E-02     -0.31887605E-02     -0.55110553E-02
     118     -0.27659974E-02     -0.27739475E-02     -0.32014012E-02     -0.55110553E-02
     119     -0.27660623E-02     -0.27739475E-02     -0.32132244E-02     -0.55110553E-02
     120     -0.27661349E-02     -0.27739475E-02     -0.32269620E-02     -0.55110553E-02
     121     -0.27662039E-02     -0.27739475E-02     -0.32389734E-02     -0.55110553E-02
     122     -0.27662654E-02     -0.27739475E-02     -0.32511900E-02     -0.55110553E-02
     123     -0.27663331E-02     -0.27739475E-02     -0.32638671E-02     -0.55110553E-02
     124     -0.27663954E-02     -0.27739475E-02     -0.32759678E-02     -0.55110553E-02
     125     -0.27664603E-02     -0.27739475E-02     -0.32877419E-02     -0.55110553E-02
     126     -0.27665302E-02     -0.27739475E-02     -0.33004083E-02     -0.55110553E-02
     127     -0.27665878E-02     -0.27739475E-02     -0.33139925E-02     -0.55110553E-02
     128     -0.27666410E-02     -0.27739475E-02     -0.33267730E-02     -0.55110553E-02
     129     -0.27666985E-02     -0.27739475E-02     -0.33391453E-02     -0.55110553E-02
     130     -0.27667913E-02     -0.27739475E-02     -0.33519900E-02     -0.55110553E-02
     131     -0.27668542E-02     -0.27739475E-02     -0.33635963E-02     -0.55110553E-02
     132     -0.27669010E-02     -0.27739475E-02     -0.33757281E-02     -0.55110553E-02
     133     -0.27669641E-02     -0.27739475E-02     -0.33882355E-02     -0.55110553E-02
     134     -0.27670164E-02     -0.27739475E-02     -0.34000633E-02     -0.55110553E-02
     135     -0.27670680E-02     -0.27739475E-02     -0.34118693E-02     -0.55110553E-02
     136     -0.27671183E-02     -0.27739475E-02     -0.34232585E-02     -0.55110553E-02
     137     -0.27671805E-02     -0.27739475E-02     -0.34352988E-02     -0.55110553E-02
     138     -0.27672299E-02     -0.27739475E-02     -0.34472872E-02     -0.55110553E-02
     139     -0.27672775E-02     -0.27739475E-02     -0.34587013E-02     -0.55110553E-02
     140     -0.27673422E-02     -0.27739475E-02     -0.34707562E-02     -0.55110553E-02
     141     -0.27673867E-02     -0.27739475E-02     -0.34823903E-02     -0.55110553E-02
     142     -0.27674431E-02     -0.27739475E-02     -0.34941917E-02     -0.55110553E-02
     143     -0.27674915E-02     -0.27739475E-02     -0.35061640E-02     -0.55110553E-02
     144     -0.27675394E-02     -0.27739475E-02     -0.35181918E-02     -0.55110553E-02
     145     -0.27675867E-02     -0.27739475E-02     -0.35301819E-02     -0.55110553E-02
     146     -0.27676317E-02     -0.27739475E-02     -0.35432689E-02     -0.55110553E-02
     147     -0.27676791E-02     -0.27739475E-02     -0.35554357E-02     -0.55110553E-02
     148     -0.27677265E-02     -0.27739475E-02     -0.35673293E-02     -0.55110553E-02
     149     -0.27677682E-02     -0.27739475E-02     -0.35794538E-02     -0.55110553E-02
     150     -0.27678098E-02     -0.27739475E-02     -0.35912878E-02     -0.55110553E-02
     151     -0.27678558E-02     -0.27739475E-02     -0.36030913E-02     -0.55110553E-02
     152     -0.27678924E-02     -0.27739475E-02     -0.36145002E-02     -0.55110553E-02
     153     -0.27679340E-02     -0.27739475E-02     -0.36268061E-02     -0.55110553E-02
     154     -0.27679742E-02     -0.27739475E-02     -0.36392632E-02     -0.55110553E-02
     155     -0.27680121E-02     -0.27739475E-02     -0.36511284E-02     -0.55110553E-02
     156     -0.27680503E-02     -0.27739475E-02     -0.36638944E-02     -0.55110553E-02
     157     -0.27680851E-02     -0.27739475E-02     -0.36753474E-02     -0.55110553E-02
