
 frequency_dependence   1

 band_index     1    50
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  =  6
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 =  0 -1  0  1 -1  0  0  0  1
 mtrx03 = -1  1  0 -1  0  0  0  0  1
 mtrx04 = -1  1  0  0  1  0  0  0  1
 mtrx05 =  1  0  0  1 -1  0  0  0  1
 mtrx06 =  0 -1  0 -1  0  0  0  0  1

       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  48    9.356852    9.356852   -2.043594    0.884175   -5.064841   -6.224260   -3.683505    6.816097    7.141614   -4.769855   -5.929274    7.111083    7.398807    0.871882
  49    9.859222    9.859222   -5.457173    2.257020   -7.432346  -10.632499   -9.186709    8.413432    8.629802   -6.618068   -9.818221    9.227710    9.322219    0.850345
  50   10.689770   10.689770   -1.412455    0.624541   -4.736627   -5.524541   -2.964271    8.129500    8.448750   -4.494760   -5.282674    8.371368    8.660459    0.875306

       k = -0.000000  0.333333  0.000000 ik =   2 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -71.072132  -71.072132  -44.447536   25.694855  -12.241620  -30.994301  -24.828512  -77.237922  -76.986912  -11.992262  -30.744943  -76.988563  -76.747706    0.959290
   2  -57.140846  -57.140846  -43.216637   28.268565  -13.134554  -28.082626  -24.329131  -60.894341  -59.660709  -12.858255  -27.806327  -60.618043  -59.475219    0.671338
   3  -44.058313  -44.058313  -41.279625   18.827366  -10.583125  -33.035384  -33.012179  -44.081518  -44.077213   -9.475898  -31.928157  -42.974292  -43.175428    0.814453
   4  -44.057071  -44.057071  -41.278565   18.898621  -10.603648  -32.983592  -33.012708  -44.027955  -44.033287   -9.497702  -31.877646  -42.922010  -43.129867    0.816876
   5  -44.054313  -44.054313  -41.278859   18.814983  -10.583048  -33.046923  -33.019973  -44.081263  -44.076370   -9.474844  -31.938719  -42.973060  -43.169386    0.818427
   6  -44.053204  -44.053204  -41.277896   18.897385  -10.605716  -32.986227  -33.019992  -44.019439  -44.025656   -9.498929  -31.879440  -42.912651  -43.122657    0.815874
   7  -44.005800  -44.005800  -41.304016   18.711094  -10.509803  -33.102724  -33.021860  -44.086664  -44.071876   -9.417052  -32.009974  -42.993914  -43.178970    0.817118
   8  -44.005104  -44.005104  -41.303080   18.726035  -10.511193  -33.088238  -33.023225  -44.070117  -44.058122   -9.418292  -31.995337  -42.977216  -43.166851    0.815509
   9  -44.004424  -44.004424  -41.302575   18.777054  -10.528193  -33.053714  -33.022310  -44.035828  -44.030122   -9.437223  -31.962744  -42.944859  -43.137378    0.818304
  10  -44.003550  -44.003550  -41.302248   18.780837  -10.527553  -33.048965  -33.024731  -44.027784  -44.023233   -9.435922  -31.957334  -42.936153  -43.136563    0.812243
  11  -43.984419  -43.984419  -41.291698   18.696949  -10.487271  -33.082020  -33.023141  -44.043299  -44.032301   -9.399551  -31.994300  -42.955579  -43.147747    0.813219
  12  -43.982204  -43.982204  -41.291125   18.727710  -10.498481  -33.061896  -33.026217  -44.017883  -44.011193   -9.411528  -31.974943  -42.930930  -43.128065    0.812480
  13  -35.357688  -35.357688  -34.931573   22.963292  -13.202881  -25.171163  -22.082841  -38.446010  -38.032327  -12.493024  -24.461306  -37.736153  -37.417556    0.866049
  14  -35.284657  -35.284657  -34.888552   22.415909  -12.829578  -25.302222  -22.142203  -38.444676  -38.119447  -12.117053  -24.589697  -37.732152  -37.480255    0.897080
  15  -35.196105  -35.196105  -34.878834   22.317083  -12.824676  -25.386426  -22.229368  -38.353163  -37.869852  -12.104198  -24.665948  -37.632685  -37.259672    0.846911
  16  -31.379472  -31.379472  -36.266971   24.259271  -13.568309  -25.576010  -22.717723  -34.237758  -33.798110  -12.871287  -24.878988  -33.540736  -33.208300    0.846185
  17  -31.317715  -31.317715  -36.376624   24.339286  -13.467748  -25.505087  -22.673986  -34.148816  -33.828533  -12.766963  -24.804302  -33.448031  -33.207028    0.886870
  18  -31.135263  -31.135263  -36.377802   24.124184  -13.563376  -25.816994  -22.861700  -34.090557  -33.600991  -12.849430  -25.103048  -33.376610  -33.005315    0.834343
  19  -10.326323  -10.326323  -24.963757   17.642930  -10.289532  -17.610359  -14.045127  -13.891555  -13.117405   -9.737279  -17.058106  -13.339302  -12.685068    0.782861
  20   -9.642854   -9.642854  -26.020199   17.140110   -9.940560  -18.820649  -15.032477  -13.431027  -12.613348   -9.393475  -18.273564  -12.883942  -12.184351    0.784149
  21   -9.554580   -9.554580  -25.616003   17.343659  -10.163578  -18.435922  -14.767066  -13.223436  -12.434921   -9.598663  -17.871007  -12.658522  -11.991419    0.785079
  22   -9.227155   -9.227155  -26.830778   16.862543   -9.781995  -19.750230  -15.824443  -13.152942  -12.320367   -9.227092  -19.195328  -12.598040  -11.883147    0.787921
  23   -2.739412   -2.739412  -20.640867   14.455839  -10.173120  -16.358148  -13.089293   -6.008267   -5.401629   -9.417910  -15.602938   -5.253057   -4.786572    0.814419
  24   -1.670466   -1.670466  -20.661651   13.965614   -9.883906  -16.579944  -13.161251   -5.089160   -4.467568   -9.145133  -15.841170   -4.350386   -3.863119    0.818179
  25   -1.456793   -1.456793  -20.226711   13.915792  -10.137552  -16.448471  -13.197942   -4.707323   -4.128187   -9.350389  -15.661308   -3.920159   -3.481270    0.821833
  26   -1.408581   -1.408581  -20.748833   14.032040  -10.078014  -16.794807  -13.431252   -4.772135   -4.164902   -9.305141  -16.021933   -3.999261   -3.531557    0.819467
  27   -0.723910   -0.723910  -20.980560   13.779461  -10.075913  -17.277011  -13.736938   -4.263984   -3.642481   -9.307844  -16.508942   -3.495915   -3.009256    0.824438
  28   -0.404251   -0.404251  -20.855931   13.554574   -9.831254  -17.132611  -13.608068   -3.928794   -3.311049   -9.075518  -16.376875   -3.173058   -2.687770    0.824730
  29   -0.168060   -0.168060  -20.791078   13.861476  -10.693077  -17.622679  -14.668728   -3.122010   -2.601684   -9.659746  -16.589348   -2.088679   -1.750370    0.823854
  30    1.022664    1.022664  -19.605385   13.154443   -9.995622  -16.446564  -13.234165   -2.189735   -1.637367   -9.162770  -15.613712   -1.356884   -0.947723    0.828051
  31    1.133312    1.133312  -21.735835   14.386908  -11.349904  -18.698831  -15.539783   -2.025737   -1.475840  -10.283966  -17.632893   -0.959798   -0.595450    0.825930
  32    1.187868    1.187868  -20.409235   13.702103  -10.789976  -17.497108  -14.512889   -1.796350   -1.278760   -9.747606  -16.454738   -0.753981   -0.417181    0.826557
  33    1.656636    1.656636  -20.070277   12.814889   -9.957344  -17.212732  -13.951173   -1.604923   -1.057176   -9.071261  -16.326649   -0.718840   -0.319902    0.832060
  34    1.927971    1.927971  -19.330193   12.482669  -10.256528  -17.104052  -14.320172   -0.855909   -0.383037   -9.224116  -16.071639    0.176503    0.474009    0.830139
  35    2.462640    2.462640  -20.097677   13.680255  -11.545882  -17.963304  -15.243787   -0.256877    0.213877  -10.440145  -16.857567    0.848860    1.128209    0.826898
  36    2.709837    2.709837  -21.331057   13.443258  -10.738713  -18.626511  -15.325937   -0.590737   -0.031364   -9.687180  -17.574978    0.460796    0.841957    0.830523
  37    5.303673    5.303673  -11.179476    6.197903  -11.175324  -16.156897  -15.505568    4.652343    4.765048   -9.919150  -14.900723    5.908517    5.803856    0.826962
  38    5.440501    5.440501  -11.030371    5.450488  -10.805087  -16.384971  -16.086129    5.141659    5.193708   -9.401938  -14.981821    6.544809    6.352473    0.825831
  39    5.689979    5.689979  -10.931827    5.523562  -10.749120  -16.157385  -15.627702    5.160296    5.251909   -9.434817  -14.843082    6.474599    6.338891    0.827041
  40    5.714944    5.714944  -13.115446    6.270288  -11.121982  -17.967139  -17.295956    5.043760    5.162483   -9.715096  -16.560253    6.450646    6.320510    0.823114
  41    6.399875    6.399875  -10.090131    4.826696  -10.292939  -15.556374  -14.984049    5.827550    5.924500   -9.023825  -14.287260    7.096664    6.978630    0.830603
  42    6.824674    6.824674  -10.872711    5.247171  -10.704952  -16.330493  -15.733841    6.228022    6.330394   -9.372462  -14.998002    7.560513    7.434259    0.828422
  43    7.279989    7.279989  -10.484731    5.002868  -10.663198  -16.145060  -15.832566    6.967495    7.021830   -9.246031  -14.727894    8.384661    8.192583    0.826122
  44    7.513406    7.513406  -12.482302    5.675413  -10.867626  -17.674514  -16.916851    6.755742    6.887723   -9.474169  -16.281058    8.149199    8.038448    0.825806
  45    9.458819    9.458819   -6.099678    2.765625   -8.603060  -11.937113  -11.160603    8.682309    8.807896   -7.510596  -10.844649    9.774773    9.723672    0.838267
  46   10.084227   10.084227   -2.629128    1.181609   -5.849710   -7.297229   -5.549992    8.336990    8.576149   -5.415717   -6.863235    8.770983    8.950738    0.863122
  47   10.139200   10.139200   -2.732239    1.222404   -5.911154   -7.420989   -5.606717    8.324928    8.573196   -5.444416   -6.954251    8.791666    8.976064    0.863158
  48   10.747616   10.747616   -6.223408    2.655565   -8.506588  -12.074431  -11.297818    9.971003   10.096572   -7.390886  -10.958729   11.086705   11.031878    0.838312
  49   10.919014   10.919014   -5.519650    2.346038   -8.011841  -11.185453  -10.249900    9.983461   10.130568   -7.001974  -10.175586   10.993328   10.981643    0.842760
  50   11.199271   11.199271   -2.825993    1.269412   -5.936055   -7.492637   -5.395872    9.102506    9.388641   -5.390144   -6.946725    9.648418    9.860055    0.863535

       k = -0.000000  0.666667  0.000000 ik =   3 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -71.072132  -71.072132  -44.447536   25.694732  -12.241621  -30.994425  -24.828512  -77.238046  -76.988006  -11.992261  -30.745065  -76.988686  -76.748759    0.959448
   2  -57.140846  -57.140846  -43.216637   28.268587  -13.134554  -28.082605  -24.329131  -60.894320  -59.660555  -12.858255  -27.806305  -60.618020  -59.475074    0.671300
   3  -44.058313  -44.058313  -41.279626   18.827366  -10.583125  -33.035384  -33.012179  -44.081519  -44.077213   -9.475898  -31.928158  -42.974292  -43.175436    0.814447
   4  -44.057071  -44.057071  -41.278566   18.898630  -10.603648  -32.983584  -33.012708  -44.027947  -44.033281   -9.497703  -31.877639  -42.922002  -43.129872    0.816866
   5  -44.054313  -44.054313  -41.278858   18.814982  -10.583047  -33.046923  -33.019973  -44.081263  -44.076370   -9.474843  -31.938719  -42.973060  -43.169380    0.818433
   6  -44.053204  -44.053204  -41.277895   18.897388  -10.605716  -32.986224  -33.019992  -44.019435  -44.025653   -9.498928  -31.879436  -42.912648  -43.122647    0.815880
   7  -44.005800  -44.005800  -41.304024   18.711073  -10.509804  -33.102756  -33.021860  -44.086696  -44.071904   -9.417046  -32.009997  -42.993937  -43.178960    0.817146
   8  -44.005104  -44.005104  -41.303077   18.726036  -10.511192  -33.088233  -33.023225  -44.070112  -44.058119   -9.418294  -31.995336  -42.977215  -43.166844    0.815516
   9  -44.004424  -44.004424  -41.302576   18.777055  -10.528193  -33.053714  -33.022310  -44.035828  -44.030123   -9.437221  -31.962741  -42.944856  -43.137348    0.818329
  10  -44.003550  -44.003550  -41.302242   18.780843  -10.527553  -33.048952  -33.024731  -44.027771  -44.023223   -9.435928  -31.957327  -42.936146  -43.136550    0.812251
  11  -43.984419  -43.984419  -41.291698   18.696949  -10.487271  -33.082020  -33.023141  -44.043298  -44.032301   -9.399552  -31.994301  -42.955579  -43.147742    0.813224
  12  -43.982204  -43.982204  -41.291126   18.727701  -10.498480  -33.061905  -33.026217  -44.017892  -44.011200   -9.411528  -31.974953  -42.930939  -43.128055    0.812497
  13  -35.357688  -35.357688  -34.931577   22.963471  -13.202900  -25.171006  -22.082841  -38.445854  -38.032227  -12.493040  -24.461146  -37.735993  -37.417445    0.866061
  14  -35.284657  -35.284657  -34.888552   22.415852  -12.829573  -25.302274  -22.142203  -38.444728  -38.119551  -12.117049  -24.589749  -37.732203  -37.480346    0.897098
  15  -35.196105  -35.196105  -34.878830   22.317145  -12.824677  -25.386362  -22.229368  -38.353099  -37.869806  -12.104197  -24.665882  -37.632619  -37.259622    0.846914
  16  -31.379472  -31.379472  -36.266971   24.259220  -13.568308  -25.576059  -22.717723  -34.237807  -33.798206  -12.871285  -24.879036  -33.540784  -33.208383    0.846204
  17  -31.317715  -31.317715  -36.376630   24.339443  -13.467759  -25.504946  -22.673986  -34.148675  -33.828403  -12.766972  -24.804158  -33.447887  -33.206897    0.886868
  18  -31.135263  -31.135263  -36.377797   24.124258  -13.563378  -25.816917  -22.861700  -34.090479  -33.600927  -12.849429  -25.102968  -33.376530  -33.005249    0.834343
  19  -10.326323  -10.326323  -24.963757   17.643340  -10.290100  -17.610518  -14.045127  -13.891713  -13.117539   -9.737832  -17.058249  -13.339445  -12.685188    0.782864
  20   -9.642854   -9.642854  -26.020199   17.139988   -9.940568  -18.820779  -15.032477  -13.431157  -12.613460   -9.393472  -18.273683  -12.884060  -12.184454    0.784152
  21   -9.554580   -9.554580  -25.616003   17.343667  -10.163709  -18.436045  -14.767066  -13.223560  -12.435032   -9.598789  -17.871125  -12.658639  -11.991523    0.785083
  22   -9.227155   -9.227155  -26.830778   16.862477   -9.782025  -19.750327  -15.824443  -13.153039  -12.320443   -9.227114  -19.195416  -12.598128  -11.883218    0.787922
  23   -2.739412   -2.739412  -20.640867   14.456339  -10.173581  -16.358109  -13.089293   -6.008228   -5.401594   -9.418413  -15.602941   -5.253060   -4.786572    0.814418
  24   -1.670466   -1.670466  -20.661652   13.966021   -9.884261  -16.579891  -13.161251   -5.089107   -4.467524   -9.145507  -15.841138   -4.350353   -3.863091    0.818178
  25   -1.456793   -1.456793  -20.226712   13.915795  -10.137517  -16.448433  -13.197942   -4.707284   -4.128154   -9.350380  -15.661296   -3.920147   -3.481259    0.821833
  26   -1.408581   -1.408581  -20.748833   14.032131  -10.078075  -16.794777  -13.431252   -4.772105   -4.164875   -9.305242  -16.021944   -3.999273   -3.531565    0.819466
  27   -0.723910   -0.723910  -20.980560   13.779687  -10.076108  -17.276980  -13.736938   -4.263953   -3.642452   -9.308090  -16.508962   -3.495935   -3.009270    0.824437
  28   -0.404251   -0.404251  -20.855931   13.554920   -9.831575  -17.132585  -13.608068   -3.928768   -3.311028   -9.075839  -16.376849   -3.173033   -2.687750    0.824730
  29   -0.168060   -0.168060  -20.791078   13.860904  -10.692541  -17.622715  -14.668728   -3.122046   -2.601712   -9.659242  -16.589416   -2.088747   -1.750425    0.823854
  30    1.022664    1.022664  -19.605385   13.154291   -9.995457  -16.446550  -13.234165   -2.189722   -1.637355   -9.162619  -15.613713   -1.356884   -0.947723    0.828051
  31    1.133312    1.133312  -21.735835   14.386817  -11.349839  -18.698857  -15.539783   -2.025762   -1.475860  -10.283929  -17.632947   -0.959853   -0.595494    0.825929
  32    1.187868    1.187868  -20.409234   13.702620  -10.790494  -17.497109  -14.512889   -1.796352   -1.278761   -9.748125  -16.454740   -0.753983   -0.417183    0.826557
  33    1.656636    1.656636  -20.070277   12.815043   -9.957491  -17.212725  -13.951173   -1.604916   -1.057169   -9.071420  -16.326653   -0.718845   -0.319905    0.832059
  34    1.927971    1.927971  -19.330193   12.481637  -10.255499  -17.104055  -14.320172   -0.855913   -0.383038   -9.223095  -16.071651    0.176492    0.474001    0.830139
  35    2.462640    2.462640  -20.097677   13.678822  -11.544457  -17.963311  -15.243787   -0.256885    0.213872  -10.438721  -16.857575    0.848852    1.128203    0.826897
  36    2.709837    2.709837  -21.331057   13.442889  -10.738348  -18.626516  -15.325937   -0.590742   -0.031369   -9.686811  -17.574979    0.460795    0.841956    0.830523
  37    5.303673    5.303673  -11.179477    6.198474  -11.175948  -16.156950  -15.505568    4.652290    4.765003   -9.919755  -14.900758    5.908482    5.803827    0.826963
  38    5.440501    5.440501  -11.030371    5.450230  -10.804839  -16.384980  -16.086129    5.141650    5.193701   -9.401683  -14.981824    6.544806    6.352471    0.825831
  39    5.689979    5.689979  -10.931826    5.523214  -10.748761  -16.157373  -15.627702    5.160307    5.251919   -9.434446  -14.843058    6.474623    6.338912    0.827041
  40    5.714944    5.714944  -13.115445    6.270109  -11.121798  -17.967134  -17.295956    5.043765    5.162487   -9.714910  -16.560245    6.450654    6.320517    0.823114
  41    6.399875    6.399875  -10.090131    4.826809  -10.293097  -15.556420  -14.984049    5.827504    5.924461   -9.023967  -14.287290    7.096634    6.978606    0.830604
  42    6.824674    6.824674  -10.872712    5.246134  -10.703945  -16.330523  -15.733841    6.227992    6.330369   -9.371438  -14.998016    7.560499    7.434248    0.828422
  43    7.279989    7.279989  -10.484731    5.002728  -10.663068  -16.145072  -15.832566    6.967483    7.021821   -9.245893  -14.727897    8.384658    8.192581    0.826122
  44    7.513406    7.513406  -12.482301    5.675531  -10.867751  -17.674522  -16.916851    6.755735    6.887716   -9.474293  -16.281063    8.149193    8.038443    0.825806
  45    9.458819    9.458819   -6.099678    2.765242   -8.602651  -11.937087  -11.160603    8.682335    8.807919   -7.510220  -10.844656    9.774765    9.723666    0.838265
  46   10.084227   10.084227   -2.629128    1.181255   -5.849348   -7.297221   -5.549992    8.336997    8.576156   -5.415360   -6.863233    8.770986    8.950740    0.863122
  47   10.139200   10.139200   -2.732239    1.222711   -5.911438   -7.420966   -5.606717    8.324951    8.573217   -5.444712   -6.954240    8.791677    8.976075    0.863158
  48   10.747616   10.747616   -6.223408    2.652408   -8.503380  -12.074380  -11.297818    9.971054   10.096618   -7.387708  -10.958708   11.086726   11.031894    0.838307
  49   10.919014   10.919014   -5.519650    2.346844   -8.012620  -11.185426  -10.249900    9.983488   10.130594   -7.002771  -10.175578   10.993337   10.981650    0.842756
  50   11.199271   11.199271   -2.825993    1.269618   -5.936251   -7.492626   -5.395872    9.102517    9.388651   -5.390350   -6.946726    9.648417    9.860055    0.863535

       k =  0.333333  0.333333  0.000000 ik =   4 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   1  -71.067212  -71.067212  -44.445452   25.706470  -12.243179  -30.982162  -24.832500  -77.216873  -77.042726  -11.993537  -30.732520  -76.967231  -76.800153    0.971682
   2  -57.129687  -57.129687  -43.216160   28.291119  -13.138813  -28.063854  -24.339223  -60.854317  -59.620129  -12.861665  -27.786706  -60.577169  -59.434817    0.668641
   3  -44.055598  -44.055598  -41.279530   18.832402  -10.585640  -33.032769  -33.016664  -44.071703  -44.068727   -9.477868  -31.924996  -42.963930  -43.165666    0.815204
   4  -44.055038  -44.055038  -41.278052   18.825960  -10.582769  -33.034860  -33.018528  -44.071370  -44.068329   -9.474531  -31.926622  -42.963133  -43.166469    0.813779
   5  -44.054088  -44.054088  -41.278612   18.887246  -10.602700  -32.994066  -33.018289  -44.029866  -44.034340   -9.495839  -31.887206  -42.923006  -43.131918    0.815298
   6  -44.053941  -44.053941  -41.277141   18.902722  -10.605642  -32.980060  -33.018477  -44.015525  -44.022560   -9.498888  -31.873306  -42.908771  -43.118499    0.816859
